Task,Done,energy Level
Take a mindful walk,No,Medium Energy (https://www.notion.so/2469ed6c1f7c8177ba54e3a48f73644e?pvs=21)
Listen to a Podcast,No,Medium Energy (https://www.notion.so/2469ed6c1f7c8177ba54e3a48f73644e?pvs=21)
Tidy Up your space,Yes,Medium Energy (https://www.notion.so/2469ed6c1f7c8177ba54e3a48f73644e?pvs=21)
Journal/ Meditation,Yes,Low Energy (Low%20Energy%202469ed6c1f7c817a9a48c5da8a8c50a3.md)
Deep clean something,No,High Energy (High%20Energy%202469ed6c1f7c810bac29ff63fd1c4ffb.md)
Take a Warm Shower,Yes,Low Energy (Low%20Energy%202469ed6c1f7c817a9a48c5da8a8c50a3.md)
Everything Shower & beauty routine,No,High Energy (High%20Energy%202469ed6c1f7c810bac29ff63fd1c4ffb.md)
Read 10 Pages Of a book,No,Low Energy (Low%20Energy%202469ed6c1f7c817a9a48c5da8a8c50a3.md)
30 Min Meditation,No,High Energy (High%20Energy%202469ed6c1f7c810bac29ff63fd1c4ffb.md)
Full workout or dance session,No,High Energy (High%20Energy%202469ed6c1f7c810bac29ff63fd1c4ffb.md)
Prep a Nourishing Meal / snack,Yes,Medium Energy (https://www.notion.so/2469ed6c1f7c8177ba54e3a48f73644e?pvs=21)
Go out for at least 30 Min,No,High Energy (High%20Energy%202469ed6c1f7c810bac29ff63fd1c4ffb.md)
Face Mask,No,Low Energy (Low%20Energy%202469ed6c1f7c817a9a48c5da8a8c50a3.md)
Stretch in Bed,Yes,Low Energy (Low%20Energy%202469ed6c1f7c817a9a48c5da8a8c50a3.md)
